保存日线数据，代码： 000001, 插入：   1条, 更新：   0条
保存日线数据，代码： 000300, 插入：   1条, 更新：   0条
保存日线数据，代码： 399001, 插入：   1条, 更新：   0条
保存日线数据，代码： 399005, 插入：   1条, 更新：   0条
保存日线数据，代码： 399006, 插入：   1条, 更新：   0条
保存日线数据，代码： 601778, 插入：   1条, 更新：   0条
保存日线数据，代码： 601778, 插入：   1条, 更新：   0条
保存日线数据，代码： 688268, 插入：   1条, 更新：   0条
保存日线数据，代码： 688268, 插入：   1条, 更新：   0条
保存日线数据，代码： 688566, 插入：   1条, 更新：   0条
保存日线数据，代码： 688566, 插入：   1条, 更新：   0条
保存日线数据，代码： 688012, 插入： 200条, 更新：   0条
保存日线数据，代码： 688012, 插入： 200条, 更新：   0条
保存日线数据，代码： 688222, 插入：  21条, 更新：   0条
保存日线数据，代码： 688222, 插入：  21条, 更新：   0条
保存日线数据，代码： 688138, 插入： 119条, 更新：   0条
保存日线数据，代码： 688138, 插入： 119条, 更新：   0条
保存日线数据，代码： 688088, 插入： 200条, 更新：   0条
保存日线数据，代码： 688088, 插入： 200条, 更新：   0条
保存日线数据，代码： 688037, 插入： 101条, 更新：   0条
保存日线数据，代码： 688037, 插入： 101条, 更新：   0条
保存日线数据，代码： 688126, 插入：  19条, 更新：   0条
保存日线数据，代码： 688126, 插入：  19条, 更新：   0条
保存日线数据，代码： 600734, 插入： 870条, 更新：   0条
保存日线数据，代码： 600734, 插入： 870条, 更新：   0条
保存日线数据，代码： 002084, 插入：1286条, 更新：   0条
保存日线数据，代码： 002084, 插入：1286条, 更新：   0条
保存日线数据，代码： 000584, 插入：   1条, 更新：   0条
保存日线数据，代码： 000584, 插入：   1条, 更新：   0条
保存日线数据，代码： 600599, 插入：1223条, 更新：   0条
保存日线数据，代码： 600599, 插入：1223条, 更新：   0条
保存日线数据，代码： 300330, 插入：1257条, 更新：   0条
保存日线数据，代码： 300330, 插入：1257条, 更新：   0条
保存日线数据，代码： 603021, 插入：1155条, 更新：   0条
保存日线数据，代码： 603021, 插入：1155条, 更新：   0条
保存日线数据，代码： 600520, 插入：1236条, 更新：   0条
保存日线数据，代码： 600520, 插入：1236条, 更新：   0条
保存日线数据，代码： 002498, 插入：1274条, 更新：   0条
保存日线数据，代码： 002498, 插入：1274条, 更新：   0条
保存日线数据，代码： 300831, 插入：   1条, 更新：   0条
保存日线数据，代码： 300831, 插入：   1条, 更新：   0条
保存日线数据，代码： 603682, 插入：  18条, 更新：   0条
保存日线数据，代码： 603682, 插入：  18条, 更新：   0条
保存日线数据，代码： 603221, 插入：  38条, 更新：   0条
保存日线数据，代码： 603221, 插入：  38条, 更新：   0条
保存日线数据，代码： 002988, 插入：   1条, 更新：   0条
保存日线数据，代码： 002988, 插入：   1条, 更新：   0条
保存日线数据，代码： 300293, 插入：1217条, 更新：   0条
保存日线数据，代码： 300293, 插入：1217条, 更新：   0条
保存日线数据，代码： 000609, 插入：1243条, 更新：   0条
保存日线数据，代码： 000609, 插入：1243条, 更新：   0条
保存日线数据，代码： 300328, 插入：1271条, 更新：   0条
保存日线数据，代码： 300328, 插入：1271条, 更新：   0条
保存日线数据，代码： 600880, 插入：1138条, 更新：   0条
保存日线数据，代码： 600880, 插入：1138条, 更新：   0条
保存日线数据，代码： 300443, 插入：1231条, 更新：   0条
保存日线数据，代码： 300443, 插入：1231条, 更新：   0条
保存日线数据，代码： 000615, 插入：1169条, 更新：   0条
保存日线数据，代码： 000615, 插入：1169条, 更新：   0条
保存日线数据，代码： 002272, 插入：   1条, 更新：   0条
保存日线数据，代码： 002272, 插入：   1条, 更新：   0条
保存日线数据，代码： 600703, 插入：1291条, 更新：   0条
保存日线数据，代码： 600703, 插入：1291条, 更新：   0条
保存日线数据，代码： 600506, 插入：   1条, 更新：   0条
